Id,Title,Author
19863,At Risk,Alice Hoffman
19864,Mackenzie Blue,Tina Wells
19865,Jennings' Little Hut,Anthony Buckeridge
19866,Harold's Purple Crayon Treasury,Crockett Johnson
19867,Raney,Clyde Edgerton
19868,Abattoir Blues,Peter Robinson
19869,The Piano Lesson,August Wilson
19870,The Black Book,Ian Rankin
19871,Goldilocks,Ed McBain
19872,Nothing Gold Can Stay,Dana Stabenow
19873,Le Survenant,Germaine GuÃ¨vremont
19874,That Affair Next Door,Anna Katharine Green
19875,Just William's Luck,Richmal Crompton
19876,Congolese wiskunde,In Koli Jean Bofane
19877,The Tiger's Fang: Graphic Novel,Paul Twitchell
19878,The Mystery of the Stolen Boxcar,Gertrude Chandler Warner
19879,Fletch,Gregory McDonald
19880,The Cat Who Said Cheese,Lilian Jackson Braun
19881,Faustus,David Mamet
19882,The Abduction,Gordon Korman
19883,Blue Shoes and Happiness,Alexander McCall Smith
19884,Jettatura,ThÃ©ophile Gautier
19885,The Center of Everything,Linda Urban
19886,Katie and the Cupcake War,Coco Simon
19887,The Telling Of Lies,Timothy Findley
19888,Working Parts,Lucy Jane Bledsoe
19889,The Star Outside my Window,Onjali Q. RaÃºf
19890,The Vanderbeekers of 141st Street,Karina Yan Glaser
19891,The House of a Thousand Candles,Meredith Nicholson
19892,Fire and Ice,Dana Stabenow
19893,The Complete Tales of the City,Armistead Maupin
19894,The Cat Who Turned On and Off,Lilian Jackson Braun
19895,Retirement Can Be Murder,Susan Santangelo
19896,The Old Silent,Martha Grimes
19897,The Fire-Dwellers,Margaret Laurence
19898,In the Company of Cheerful Ladies,Alexander McCall Smith
19899,The Sound of Colors: A Journey of the Imagination,Jimmy Liao
19900,Third Girl,Agatha Christie
19901,The Memory Room,Mary Rakow
19902,Fortunate Son,Walter Mosley
19903,Miss Julia Speaks Her Mind,Ann B. Ross
19904,Alexis Cool as a Cupcake,Coco Simon
19905,Summer of the Gypsy Moths,Sara Pennypacker
19906,Midnight Come Again,Dana Stabenow
19907,The Cat Who Knew Shakespeare,Lilian Jackson Braun
19908,Birds,Aristophanes
19909,The Twelve Lives of Samuel Hawley,Hannah Tinti
19910,Hard Core Logo,Michael  Turner
19911,Il profeta - Il giardino del profeta,Kahlil Gibran
19912,Play With Fire,Dana Stabenow
19913,Ubu Roi,Alfred Jarry
19914,The Book of Nods,Jim Carroll
19915,Bestial,Ray Garton
19916,Eyrie,Tim Winton
19917,Where's Waldo?,Martin Handford
19918,The Sacred Art of Stealing,Christopher Brookmyre
19919,Admission,Jean Hanff Korelitz
19920,Toss,Boomer Esiason
19921,Miss Santa Claus of the Pullman,Annie Fellows Johnston
19922,A Quality Of Light,Richard Wagamese
19923,Valencia,Michelle Tea
19924,Killing Grounds,Dana Stabenow
19925,Pictures from an Institution,Randall Jarrell
19926,"Good Morning, Midnight",Reginald Hill
19927,Flight of the Doves,Walter Macken
19928,Le Royaume,Emmanuel CarrÃ¨re
19929,I grandi casi di Sherlock Holmes. Tutti i romanzi: Uno studio in rosso - Il segno dei quattro - Il mastino di Baskerville - La valle della paura,Arthur Conan Doyle
19930,Big Nate on a Roll,Lincoln Peirce
19931,Where's Waldo Now?,Martin Handford
19932,The Berenstain Bears and the Spooky Old Tree,Stan Berenstain
19933,A Cold-Blooded Business,Dana Stabenow
19934,Perfect Agreement,Michael Downing
19935,Appointment with Death,Agatha Christie
19936,Bed of Nails,Antonin Varenne
19937,Tumbledown,Robert Boswell
19938,The Phantom of the Opera,Jennifer Bassett
19939,The Worry Stone,Marianna Dengler
19940,A House Without Windows,Nadia Hashimi
19941,Romeo e Giulietta,William Shakespeare
19942,Many Moons,James Thurber
19943,Whisper To The Blood,Dana Stabenow
19944,Harvey,Mary   Chase
19945,Kornwolf,Tristan Egolf
19946,Blood Will Tell,Dana Stabenow
19947,The Hustler,Walter Tevis
19948,Death of a Gossip,M.C. Beaton
19949,Walt Disney's Uncle Remus (A Little Golden Book),Marion Palmer
19950,Amity & Sorrow,Peggy Riley
19951,Oi For England,Trevor Griffiths
19952,The 26-Storey Treehouse,Andy Griffiths
19953,The Tell-Tale Start,Gordon McAlpine
19954,Dead In The Water,Dana Stabenow
19955,The Little Foxes,Lillian Hellman
19956,Top Girls,Caryl Churchill
19957,The Widower's Tale,Julia Glass
19958,Cloud Busting,Malorie Blackman
19959,"Started Early, Took My Dog",Kate Atkinson
19960,Things You Can't Say,Jenn Bishop
19961,Swag,Elmore Leonard
19962,Uncle Dynamite,P.G. Wodehouse
19963,No Talking,Andrew Clements
19964,A Lotus for Miss Quon,James Hadley Chase
19965,Crazy Summer,Renata Suerth
19966,Les Catilinaires,AmÃ©lie Nothomb
19967,Owls in the Family,Farley Mowat
19968,A Deeper Sleep,Dana Stabenow
19969,Big Nate: In a Class by Himself,Lincoln Peirce
19970,"You Find Him, I'll Fix Him",James Hadley Chase
19971,Fish in a Tree,Lynda Mullaly Hunt
19972,The Girl Who Stopped Swimming,Joshilyn Jackson
19973,Little Fires Everywhere,Celeste Ng
19974,Burglars Can't Be Choosers,Lawrence Block
19975,Le Roman Bourgeois,Antoine FuretiÃ¨re
19976,A Taint In The Blood,Dana Stabenow
19977,Honeysuckle and Jasmine,Liz Grace Davis
19978,Them Bones,Carolyn Haines
19979,Dead Man's Folly,Agatha Christie
19980,Breakup,Dana Stabenow
19981,A Bright Moon For Fools,Jasper Gibson
19982,A Fine And Bitter Snow,Dana Stabenow
19983,Last Drinks,Andrew McGahan
19984,The Alpine Advocate,Mary Daheim
19985,The Sonnets and A Lover's Complaint,William Shakespeare
19986,Dick Francis's Bloodline,Felix Francis
19987,Pete's Dragon (Little Golden Book),Walt Disney Company
19988,Indecent Exposure,Tom Sharpe
19989,Each Kindness,Jacqueline Woodson
19990,Rikki-Tikki-Tavi,Rudyard Kipling
19991,"The Complete Stories of Sherlock Holmes, Volume 1",Arthur Conan Doyle
19992,The Gollywhopper Games,Jody Feldman
19993,A Fatal Thaw,Dana Stabenow
19994,Peru,Gordon Lish
19995,Double Fault,Lionel Shriver
19996,Storia di un corpo,Daniel Pennac
19997,The Scapegoat,Daphne du Maurier
19998,"The Complete Stories of Sherlock Holmes, Volume 3",Arthur Conan Doyle
19999,Louisiana's Way Home,Kate DiCamillo
20000,Mission to Venice,James Hadley Chase
20001,Bad Moon Rising,Jonathan Maberry
20002,Death to the Pigs: Selected Writings of Benjamin Peret,Benjamin PÃ©ret
20003,Prozac Highway,Persimmon Blackbridge
20004,Hope to Die,Lawrence Block
20005,"I, The Divine: A Novel in First Chapters",Rabih Alameddine
20006,Pinktoes: A Novel,Chester Himes
20007,A Whole Nother Story,Cuthbert Soup
20008,Into the Lion's Den,Linda Fairstein
20009,The Devil Knows You're Dead,Lawrence Block
20010,Heart of Change,Roxy Harte
20011,Treasure Island,Deidre S. Laiken
20012,The Case of the Glamorous Ghost,Erle Stanley Gardner
20013,"Mickey Meets the Giant (Walt Disney Fun-to-Read Library, #1)",Walt Disney Company
20014,The Great Treehouse War,Lisa Graff
20015,A Ticket to the Boneyard,Lawrence Block
20016,Fra Pierino e il suo ciuchino,Juan MuÃ±oz MartÃ­n
20017,The Black Book of Buried Secrets,Mallory Kass
20018,Five Are Together Again,Enid Blyton
20019,The Enormous Crocodile,Roald Dahl
20020,A Long Line of Dead Men,Lawrence Block
20021,Joseph Had a Little Overcoat,Simms Taback
20022,The War of the Saints,Jorge Amado
20023,Five Have a Mystery to Solve,Enid Blyton
20024,Need A House? Call Ms. Mouse,George Mendoza
20025,Little Bear,Else Holmelund Minarik
20026,The Ballad of a Small Player: A Novel,Lawrence Osborne
20027,Last Seen Wearing,Hillary Waugh
20028,Time to Murder and Create,Lawrence Block
20029,Life at Blandings,P.G. Wodehouse
20030,Garvey's Choice,Nikki Grimes
20031,Fill In The Blank,Rachel Vail
20032,The Dog Who Knew Too Much,Spencer Quinn
20033,Five on Finniston Farm,Enid Blyton
20034,Annabel,Kathleen Winter
20035,The Forgetting Time,Sharon Guskin
20036,7th Heaven,James Patterson
20037,A Sport of Nature,Nadine Gordimer
20038,Friday the Rabbi Slept Late,Harry Kemelman
20039,Random Acts,Taylor Smith
20040,Five on a Hike Together,Enid Blyton
20041,Lord of Misrule,Jaimy Gordon
20042,The Melendy Family,Elizabeth Enright
20043,A Reginald Bones Xmas: Bones Brothers 2,Lucian Bane
20044,Every Missing Piece,Melanie Conklin
20045,National Lampoon: 1964 High School Yearbook: 39th Reunion Edition,P.J. O'Rourke
20046,Saturday the Rabbi Went Hungry,Harry Kemelman
20047,The Farmer's Wife,Idries Shah
20048,The African Safari Papers,Robert Sedlack
20049,September Roses,AndrÃ© Maurois
20050,Les Belles-Soeurs,Michel Tremblay
20051,The Invisible Boy,Trudy Ludwig
20052,When the Music's Over,Peter Robinson
20053,The Flowers of Evil & Paris Spleen,Charles Baudelaire
20054,The Russian Debutante's Handbook,Gary Shteyngart
20055,Sunday the Rabbi Stayed Home,Harry Kemelman
20056,The Riddle of the Third Mile,Colin Dexter
20057,Il dio del massacro,Yasmina Reza
20058,The Real Thing,Tom Stoppard
20059,Monday the Rabbi Took Off,Harry Kemelman
20060,The Children of Captain Grant: A Play in Five Acts,Jules Verne
20061,Brighton Beach Memoirs,Neil Simon
20062,The Report Card,Andrew Clements
20063,The First Adventure,Emily Bearn
20064,Seven Plays,Sam Shepard
20065,Tuesday the Rabbi Saw Red,Harry Kemelman
20066,The Rose and the Yew Tree,Mary Westmacott
20067,The Famous Five [4 Adventures],Enid Blyton
20068,The Essential Writings of Jonathan Swift,Jonathan Swift
20069,Wednesday the Rabbi Got Wet,Harry Kemelman
20070,Death is No Sportsman,Cyril Hare
20071,Critical Mass,Sara Paretsky
20072,Thursday the Rabbi Walked Out,Harry Kemelman
20073,Tourist Season,Carl Hiaasen
20074,Stay Tuned,Lauren Clark
20075,Gump and Co.,Winston Groom
20076,You Know Me Al,Ring Lardner
20077,Fire on the Mountain,Anita Desai
20078,The World Below,Sue Miller
20079,Everything Changes,Jonathan Tropper
20080,The Mulligan,Nathan Jorgenson
20081,Believed Violent,James Hadley Chase
20082,Hickory Dickory Dock,Agatha Christie
20083,Flesh Gothic,Edward Lee
20084,I Hold the Four Aces,James Hadley Chase
20085,Poppy Done to Death,Charlaine Harris
20086,Aftermath,Peter Robinson
20087,The Way to Sattin Shore,Philippa Pearce
20088,Thieves Like Us,Edward Anderson
20089,The Swish of the Curtain,Pamela Brown
20090,The Story of the Little Mole Who Went in Search of Whodunit,Werner Holzwarth
20091,Drylands,Thea Astley
20092,A Fool and His Honey,Charlaine Harris
20093,Random Walk,Lawrence Block
20094,Make the Corpse Walk,James Hadley Chase
20095,Last Scene Alive,Charlaine Harris
20096,Hedda Gabler and Other Plays,Henrik Ibsen
20097,Five on Kirrin Island Again,Enid Blyton
20098,How to Be Topp,Geoffrey Willans
20099,The Red Box,Rex Stout
20100,Heavy Weather,P.G. Wodehouse
20101,Dead Over Heels,Charlaine Harris
20102,The Godwulf Manuscript,Robert B. Parker
20103,Too Many Ghosts,Paul Gallico
20104,Disney's Lady and the Tramp: Classic Storybook,Jamie Simons
20105,The Duchess of Malfi,John Webster
20106,The Three Robbers,Tomi Ungerer
20107,"Three Bedrooms, One Corpse",Charlaine Harris
20108,The History Man,Malcolm Bradbury
20109,Sick Puppy,Carl Hiaasen
20110,Smoke,Elizabeth Ruth
20111,The Julius House,Charlaine Harris
20112,Christina Katerina & the Box,Patricia Lee Gauch
20113,Thank You for Smoking,Christopher Buckley
20114,Mortal Stakes,Robert B. Parker
20115,Dead City,Joe McKinney
20116,A Bone to Pick,Charlaine Harris
20117,A Place of Hiding,Elizabeth  George
20118,Promised Land,Robert B. Parker
20119,The Case of the Careless Cupid,Erle Stanley Gardner
20120,Miss Marple Omnibus Vol 1 (Body in the Library / Moving Finger / Murder is Announced / 4:50 from Paddington),Agatha Christie
20121,Real Murders,Charlaine Harris
20122,Rugrats In Paris: The Movie,Cathy East Dubowski
20123,Secrets She Left Behind,Diane Chamberlain
20124,Thanksgiving Night,Richard Bausch
20125,Options: The Secret Life of Steve Jobs,Fake Steve Jobs
20126,In the Presence of the Enemy,Elizabeth  George
20127,Complete Poems (Library of Classic Poets),Edgar Allan Poe
20128,The Widening Gyre,Robert B. Parker
20129,Sister of My Heart,Chitra Banerjee Divakaruni
20130,A Traitor to Memory,Elizabeth  George
20131,When the Sacred Ginmill Closes,Lawrence Block
20132,Anne - The Original Classic Edition,Constance Fenimore Woolson
20133,Winona's Web: A Novel of Discovery,Priscilla Cogan
20134,Last Summer at Barebones,Diane Baker Mason
20135,"Never Do Anything, Ever",Jim Benton
20136,Mr. Tickle,Roger Hargreaves
20137,Pomegranate Soup,Marsha Mehran
20138,Mr. Bump,Roger Hargreaves
20139,"Me! (Just Like You, Only Better)",Jim Benton
20140,Walt Disney's Grandpa Bunny (A Little Golden Book Classic),Walt Disney Company
20141,The Sunday Philosophy Club,Alexander McCall Smith
20142,"Okay, So Maybe I Do Have Superpowers",Jim Benton
20143,The Manticore,Robertson Davies
20144,Plays 2: A Doll's House / An Enemy of the People / Hedda Gabler,Henrik Ibsen
20145,Carving The Light,Sue A. Maynard
20146,Death Dance,Linda Fairstein
20147,The Worst Things In Life Are Also Free,Jim Benton
20148,A Week in the Woods,Andrew Clements
20149,On Strike Against God,Joanna Russ
20150,With No One as Witness,Elizabeth  George
20151,From the End of Heaven,Chris Stewart
20152,It's Not My Fault I Know Everything,Jim Benton
20153,Rameau's Nephew / D'Alembert's Dream,Denis Diderot
20154,Walt Disney's Alice in Wonderland Meets the White Rabbit (A Little Golden Book),Jane Werner
20155,The Flamingo Rising (Ballantine Reader's Circle),Larry Baker
20156,The Cranes Dance,Meg Howrey
20157,That's What Friends Aren't For,Jim Benton
20158,W is for Wasted,Sue Grafton
20159,Whale Season,N.M. Kelby
20160,The Watch Tower,Elizabeth Harrower
20161,The Case of the Spurious Spinster,Erle Stanley Gardner
20162,A Dog of Flanders,Ouida
20163,The Ravishing of Lol Stein,Marguerite Duras
20164,Plays 1: Closer / Dealer's Choice / After Miss Julie,Patrick Marber
20165,The Problem with Here Is That It's Where I'm From,Jim Benton
20166,The Animators,Kayla Rae Whitaker
20167,The Knockout Artist,Harry Crews
20168,Likely To Die,Linda Fairstein
20169,Am I the Princess or the Frog?,Jim Benton
20170,Drowned Hopes,Donald E. Westlake
20171,Leaves of Hypnos,RenÃ© Char
20172,Angelina Ballerina,Katharine Holabird
20173,The Boy Detective Fails,Joe Meno
20174,Star Island,Carl Hiaasen
20175,Can Adults Become Human?,Jim Benton
20176,Uncle Shelby's ABZ Book,Shel Silverstein
20177,The Bone Vault,Linda Fairstein
20178,Tree of Codes,Jonathan Safran Foer
20179,The Secret of the Great Red Spot,Leonardo Ramirez
20180,Hamlet as Told on the Street,Shel Silverstein
20181,A Miracle of Catfish,Larry Brown
20182,Peepshow,Leigh Redhead
20183,Entombed,Linda Fairstein
20184,The Lost Get-Back Boogie,James Lee Burke
20185,The Old Contemptibles,Martha Grimes
20186,Cat on a Blue Monday,Carole Nelson Douglas
20187,Lord Byron: The Major Works,Lord Byron
20188,Let Me Off at the Top!: My Classy Life and Other Musings,Ron Burgundy
20189,Merde Happens,Stephen Clarke
20190,Curiosity Killed the Cat Sitter,Blaize Clement
20191,An Inspector Calls and Other Plays,J.B. Priestley
20192,Le Vieux Chagrin,Jacques Poulin
20193,Chester and Gus,Cammie McGovern
20194,The Right Side,Spencer Quinn
20195,Snug,Michael Morpurgo
20196,Scarlet Ibis,Gill Lewis
20197,Tree Castle Island,Jean Craighead George
20198,The Practical Heart: Four Novellas,Allan Gurganus
20199,Isabel's Daughter,Judi Hendricks
20200,Nutshell Library,Maurice Sendak
20201,Merde Actually,Stephen Clarke
20202,Moon Bear,Gill Lewis
20203,The Case of the Sun Bather's Diary,Erle Stanley Gardner
20204,Hallowe'en Party,Agatha Christie
20205,The Man and the Fox,Idries Shah
20206,How Should a Person Be?: A Novel from Life,Sheila Heti
20207,The Wedding Dress,Gary E. Parker
20208,Sky Hawk,Gill Lewis
20209,I Have the Right to Destroy Myself,Young-Ha Kim
20210,Larry's Party,Carol Shields
20211,The Complete Nonsense of Edward Lear,Edward Lear
20212,Killer in Drag,Ed Wood
20213,Boy Wonder,James Robert Baker
20214,Shakespeare's Trollop,Charlaine Harris
20215,One Morning in Maine,Robert McCloskey
20216,The Blue Knight,Joseph Wambaugh
20217,A Change in Altitude,Anita Shreve
20218,The Tale of Mrs. Tittlemouse,Beatrix Potter
20219,The White Bone,Barbara Gowdy
20220,The Seven Chinese Brothers,Margaret Mahy
20221,Shakespeare's Champion,Charlaine Harris
20222,The Valley of Adventure,Enid Blyton
20223,Uncle Remus and Brer Rabbit,Joel Chandler Harris
20224,Shakespeare's Landlord,Charlaine Harris
20225,Beachcombing for a Shipwrecked God,Joe Coomer
20226,The Conservationist,Nadine Gordimer
20227,The Toothpaste Millionaire,Jean Merrill
20228,Dial M For Merde,Stephen Clarke
20229,The Delta Star,Joseph Wambaugh
20230,Au Petit Poil,A.A. Fair
20231,Deputy Sheriff of Comanche County,Edgar Rice Burroughs
20232,"Quanto Mais Depressa Ando, Mais Pequena Sou",Kjersti Annesdatter Skomsvold
20233,The Giving Tree,Shel Silverstein
20234,Charlotte's Web,E.B. White
20235,Where the Wild Things Are,Maurice Sendak
20236,The Bell Jar,Sylvia Plath
20237,Anna Karenina,Leo Tolstoy
20238,Rebecca,Daphne du Maurier
20239,On the Road: the Original Scroll,Jack Kerouac
20240,Winnie-the-Pooh,A.A. Milne
20241,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company
20242,How the Grinch Stole Christmas!,Dr. Seuss
20243,The Cat in the Hat,Dr. Seuss
20244,The Importance of Being Earnest,Oscar Wilde
20245,The Lorax,Dr. Seuss
20246,Fear and Loathing in Las Vegas,Hunter S. Thompson
20247,White Oleander,Janet Fitch
20248,King Lear,William Shakespeare
20249,The Complete Works,William Shakespeare
20250,Heidi,Johanna Spyri
20251,The Hound of the Baskervilles,Arthur Conan Doyle
20252,The Art of Racing in the Rain,Garth Stein
20253,Death of a Salesman,Arthur  Miller
20254,A Streetcar Named Desire,Tennessee Williams
20255,Hamlet,William Shakespeare
20256,Pippi Longstocking,Astrid Lindgren
20257,Shantaram,Gregory David Roberts
20258,Much Ado About Nothing,William Shakespeare
20259,The Woman in White,Wilkie Collins
20260,Trainspotting,Irvine Welsh
20261,Ishmael,Daniel Quinn
20262,The Glass Menagerie,Tennessee Williams
20263,Twelfth Night,William Shakespeare
20264,The Merchant of Venice,William Shakespeare
20265,The Bean Trees,Barbara Kingsolver
20266,Cyrano de Bergerac,Edmond Rostand
20267,A Dog's Purpose,W. Bruce Cameron
20268,Veronika Decides to Die,Paulo Coelho
20269,Oedipus Rex,Sophocles
20270,Rosencrantz and Guildenstern Are Dead,Tom Stoppard
20271,Prodigal Summer,Barbara Kingsolver
20272,The Elegance of the Hedgehog,Muriel Barbery
20273,Howl and Other Poems,Allen Ginsberg
20274,The No. 1 Ladies' Detective Agency,Alexander McCall Smith
20275,The Corrections,Jonathan Franzen
20276,The Namesake,Jhumpa Lahiri
20277,Macbeth,William Shakespeare
20278,Still Alice,Lisa Genova
20279,Choke,Chuck Palahniuk
20280,Death on the Nile,Agatha Christie
20281,Beach Music,Pat Conroy
20282,Shakespeare's Sonnets,William Shakespeare
20283,Lysistrata,Aristophanes
20284,The Brief Wondrous Life of Oscar Wao,Junot DÃ­az
20285,The Maltese Falcon,Dashiell Hammett
20286,A Study in Scarlet,Arthur Conan Doyle
20287,The Tempest,William Shakespeare
20288,The Great Divorce,C.S. Lewis
20289,We Have Always Lived in the Castle,Shirley Jackson
20290,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka
20291,For One More Day,Mitch Albom
20292,Exotic Neurotic,Kenneth Jarrett Singleton
20293,The Turn of the Screw,Henry James
20294,The Raven and Other Poems,Edgar Allan Poe
20295,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst
20296,The Pandarus File,Kyle Keyes
20297,Tales of the City,Armistead Maupin
20298,The Scopas Factor,Vincent Panettiere
20299,Three Men in a Boat,Jerome K. Jerome
20300,A Man Called Ove,Fredrik Backman
20301,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,Jonas Jonasson
20302,The Casual Vacancy,J.K. Rowling
20303,Cloudy With a Chance of Meatballs,Judi Barrett
20304,Eleanor Oliphant Is Completely Fine,Gail Honeyman
20305,Yertle the Turtle and Other Stories,Dr. Seuss
20306,About a Boy,Nick Hornby
20307,The Moonstone,Wilkie Collins
20308,The Runaway Bunny,Margaret Wise Brown
20309,Brownout - 666: or the Real Meaning of the Swastika,John Richard Spencer
20310,A Modest Proposal and Other Satirical Works,Jonathan Swift
20311,The Cat in the Hat Comes Back,Dr. Seuss
20312,The Human Obsession,Heath Sommer
20313,The Death of Bunny Munro,Nick Cave
20314,Stones (One True Child #5),L.C. Conn
20315,The Grand Delusion,Heath Sommer
20316,Our Town,Thornton Wilder
20317,The House at Pooh Corner,A.A. Milne
20318,The Sign of Four,Arthur Conan Doyle
20319,Cold Comfort Farm,Stella Gibbons
20320,Horton Hears a Who!,Dr. Seuss
20321,The Sneetches and Other Stories,Dr. Seuss
20322,Uniform Justice,Donna Leon
20323,Gaudy Night,Dorothy L. Sayers
20324,The Zahir,Paulo Coelho
20325,House Rules,Jodi Picoult
20326,Nutshell,Ian McEwan
20327,The Well House,M.S. Matassa
20328,The Book of Illusions,Paul Auster
20329,The Trumpet of the Swan,E.B. White
20330,Ramonst,A.F. Knott
20331,Filth,Irvine Welsh
20332,The 120 Days of Sodom,Marquis de Sade
20333,To Dream the Blackbane,Richard J.   O'Brien
20334,What Do People Do All Day?,Richard Scarry
20335,Perfect,Tricia Copeland
20336,Novel with Cocaine,M. Ageyev
20337,Guess How Much I Love You,Sam McBratney
20338,Money,Martin Amis
20339,Plain Truth,Jodi Picoult
20340,The House at Pooh Corner and Now We Are Six,A.A. Milne
20341,Beartown,Fredrik Backman
20342,Suvashun,Simin Daneshvar
20343,Little Fires Everywhere,Celeste Ng
20344,Millennium Approaches,Tony Kushner
20345,The Witch of Portobello,Paulo Coelho
20346,The Tortilla Curtain,T. Coraghessan Boyle
20347,The Bedroom Secrets of the Master Chefs,Irvine Welsh
20348,An Elephant Is On My House: And Other Poems,Othen Donald Dale Cummings
20349,Mission: Subhero,Linda    Armstrong
20350,Queer,William S. Burroughs
20351,Snuff,Chuck Palahniuk
20352,The Day Jesus Rode Into Croydon,Kirk St Moritz
20353,A Fraction of the Whole,Steve Toltz
20354,The Swiss Family Robinson,Johann David Wyss
20355,The Tale of Peter Rabbit,Beatrix Potter
20356,Cell,Stephen King
20357,The Jungle Book,Rudyard Kipling
20358,SSN Seadragon: The Crucible of Leviathan,J.P. Ronald
20359,Invisible,Paul Auster
20360,Frisk,Dennis Cooper
20361,On Beauty,Zadie Smith
20362,A Raisin in the Sun,Lorraine Hansberry
20363,The Reluctant Fundamentalist,Mohsin Hamid
20364,The Christmas Sweater,Glenn Beck
20365,And the Ass Saw the Angel,Nick Cave
20366,This is Where I Leave You,Jonathan Tropper
20367,Glue,Irvine Welsh
20368,The Little Friend,Donna Tartt
20369,The Crow Road,Iain Banks
20370,The Devil and Miss Prym,Paulo Coelho
20371,Nobody's Boy,Hector Malot
20372,The Ugly Truth,Jeff Kinney
20373,Dom Casmurro,Machado de Assis
20374,Generation X: Tales for an Accelerated Culture,Douglas Coupland
20375,Until I Find You,John Irving
20376,Stone Butch Blues,Leslie Feinberg
20377,Mr. Popper's Penguins,Richard Atwater
20378,The A.B.C. Murders,Agatha Christie
20379,The Fool's Progress,Edward Abbey
20380,Please Look After Mom,Shin Kyung-sook
20381,The Monkey Wrench Gang,Edward Abbey
20382,Red Harvest,Dashiell Hammett
20383,Another Country,James Baldwin
20384,Q & A,Vikas Swarup
20385,The Last Straw,Jeff Kinney
20386,Secret Daughter,Shilpi Somaya Gowda
20387,Black Ice,Stephen Tesher
20388,Sideways Stories from Wayside School,Louis Sachar
20389,Full Moon Saturday Night,Mark Barkawitz
20390,The Pilot's Wife,Anita Shreve
20391,Who's Afraid of Virginia Woolf?,Edward Albee
20392,The Railway Children,E. Nesbit
20393,The Secret Adversary,Agatha Christie
20394,What I Loved,Siri Hustvedt
20395,Dead Men's Trousers,Irvine Welsh
20396,Annabel Horton And The Black Witch of Pau (Book Two),Olivia Hardy Ray
20397,Le Petit Nicolas,RenÃ© Goscinny
20398,Dakota Son,Mary Ramsey
20399,Just for You,Mercer Mayer
20400,The World of Winnie-the-Pooh,A.A. Milne
20401,The Valley of Fear,Arthur Conan Doyle
20402,The Fortress of Solitude,Jonathan Lethem
20403,The Hour of the Star,Clarice Lispector
20404,Platform,Michel Houellebecq
20405,The Little Sister,Raymond Chandler
20406,The Temple of My Familiar,Alice Walker
20407,The Complete Tales,Beatrix Potter
20408,Trustee from the Toolroom,Nevil Shute
20409,Titus Andronicus,William Shakespeare
20410,The Pilgrimage,Paulo Coelho
20411,Warrior of the Light,Paulo Coelho
20412,The Broken Wings,Kahlil Gibran
20413,The Millennial Reincarnations,Daniel M. Harrison
20414,Equus,Peter Shaffer
20415,A Single Man,Christopher Isherwood
20416,Cabin Fever,Jeff Kinney
20417,Play It As It Lays,Joan Didion
20418,Pay It Forward,Catherine Ryan Hyde
20419,An Object of Beauty,Steve Martin
20420,A Modest Proposal,Jonathan Swift
20421,Microserfs,Douglas Coupland
20422,The Missing Piece,Shel Silverstein
20423,The Code of the Woosters,P.G. Wodehouse
20424,The Women's Room,Marilyn French
20425,Autumn in Peking,Boris Vian
20426,Mike Mulligan and His Steam Shovel,Virginia Lee Burton
20427,Pnin,Vladimir Nabokov
20428,A Spy at Home,Joseph Rinaldo
20429,Mutant Message Down Under,Marlo Morgan
20430,And to Think That I Saw It on Mulberry Street,Dr. Seuss
20431,Leave It to Psmith,P.G. Wodehouse
20432,Zombie Fallout,Mark Tufo
20433,The Case of the Displaced Detective: The Arrival,Stephanie Osborn
20434,Lullabies for Little Criminals,Heather O'Neill
20435,Our Lady of the Flowers,Jean Genet
20436,A Home at the End of the World,Michael Cunningham
20437,Martin Swans Diary: Black Water Crossing,Kyle Keyes
20438,Britt-Marie Was Here,Fredrik Backman
20439,The Missing Piece Meets the Big O,Shel Silverstein
20440,Crow Lake,Mary Lawson
20441,Nightwood,Djuna Barnes
20442,Parnassus on Wheels,Christopher  Morley
20443,If Nobody Speaks of Remarkable Things,Jon McGregor
20444,Revolting Rhymes,Roald Dahl
20445,Angels in America,Tony Kushner
20446,The Speed of Life,James Victor Jordan
20447,Straight Man,Richard Russo
20448,An American Marriage,Tayari Jones
20449,Beatrice and Virgil,Yann Martel
20450,The Lady in the Lake,Raymond Chandler
20451,Espedair Street,Iain Banks
20452,A Pocket Full of Rye,Agatha Christie
20453,The Diary of a Nobody,George Grossmith
20454,Now We Are Six,A.A. Milne
20455,The Thin Man,Dashiell Hammett
20456,Journey to Ixtlan,Carlos CastaÃ±eda
20457,Lord Edgware Dies,Agatha Christie
20458,The Deep End of the Ocean,Jacquelyn Mitchard
20459,Nemesis,Agatha Christie
20460,Dermaphoria,Craig Clevenger
20461,Book One: Sporadic Memories,Ali Marsman
20462,Endless Night,Agatha Christie
20463,The Gates to Love and War,Janie Pendleton
20464,Divisadero,Michael Ondaatje
20465,A Yellow Raft in Blue Water,Michael Dorris
20466,Man and Superman,George Bernard Shaw
20467,Woman at Point Zero,Nawal El Saadawi
20468,The History Boys,Alan Bennett
20469,Wayside School Is Falling Down,Louis Sachar
20470,My Ishmael,Daniel Quinn
20471,Swindle,Gordon Korman
20472,Old Possum's Book of Practical Cats,T.S. Eliot
